Handle,Display Name,DID,Follows Me
floridawildchild.bsky.social,Florida Wild Child,did:plc:u4ma73ixrc6sp7kluvhdmabc,True
quintabrunsonnn.bsky.social,QUINTA BRUNSON,did:plc:zpzvdtb2le4pvrj45fuhfg53,True
sonko999.bsky.social,,did:plc:3sjndwvhipukea7myhka2nmw,True
locolopeznyc.bsky.social,𝔹𝕣𝕚𝕒𝕟 ℝ𝕖𝕤𝕚𝕤𝕥𝕤,did:plc:ijq7egxbfproxu3suebglwc4,True
alvinsoprano.bsky.social,Alvin Soprano,did:plc:vntdou5jxj33hghj3l6kjdrq,True
arveaksnes75.bsky.social,Arve Aksnes,did:plc:fqofehrqxezyrrinna4s423t,True
michaellafond.bsky.social,Michael LaFond,did:plc:sx23ba2gptu5o6pkoapa5rvy,True
emilyparker86.bsky.social,Emily Parker,did:plc:dfl73ihdb5cfee7hi4e6c57q,True
janhappy.bsky.social,Jan Happy Ankerstjerne,did:plc:ot3p5g4zl67yuqcv6ijonj7z,True
bhabyghie.bsky.social,Rose Hoover,did:plc:dgzi3xxthsp2c5uptwf524rk,True
bluetexan68.bsky.social,Fed up in Texas(Audrey)💙💙 🌊 🌊,did:plc:63ao5cfep7byfivsh36p7yna,True
ethanharris0.bsky.social,,did:plc:3r756gesi5cez5o7jobcm5cg,True
komelseykerr.bsky.social,Nora Walker,did:plc:oktddayskpwag2w3a473kqmt,True
senit61497.bsky.social,,did:plc:enfocbsjk66i65yzmskxuey4,True
derhnoarzt.bsky.social,TheENTDoc (MD) - DerHNOArzt,did:plc:lnriofng5l7jdrgavzfbg2d2,True
trendingtalks.bsky.social,Trending Talks,did:plc:r7sk2hatguip7j4tu5ovw3nw,True
jenny871.bsky.social,jenny wong,did:plc:6hqr3yloxixvvhak3f66kfgo,True
nba-usa.bsky.social,NBA 🏀,did:plc:i5bzg55t3crz6enma2wfbhoz,True
thomasena-reed.bsky.social,Thomasena 🐦‍🔥,did:plc:nx5l4n3j7ofhirriqf74kygb,True
kaleyeella.bsky.social,Ella,did:plc:gw6uchvlxj42rwmmvynlxlqa,True
murshida.bsky.social,,did:plc:egrhf5v6doctmgep52dxlwtg,True
aki-iloveyou.bsky.social,AKI♠️🇯🇵,did:plc:myb7gm7bxnyxrvu43kgyfurm,True
jallow1.bsky.social,Tokorr,did:plc:6wdluachldrakw6cvngyp3nw,True
kat2024.bsky.social,Kat,did:plc:fvn544p2npijl2bguvnsdds7,True
roysexton.bsky.social,Roy Sexton,did:plc:o25qu2vd7pgltqjk4fmtikfs,True
abuyaser.bsky.social,Abu 🇵🇸🍉,did:plc:izcu5tybuq4wqlamass4oigi,True
withastruthinit.bsky.social,🇺🇸DragonLady🍁☘️,did:plc:swnr3kybsmdekj7rautonjqg,True
cirellan.bsky.social,Cirellan,did:plc:euovr5p5ztmxngrlguktibbb,True
lizbess.bsky.social,Liz Bess,did:plc:njs4bvj3q7cmlbbpgqj533di,True
scythianna.bsky.social,Scythianna,did:plc:jm3g6gixocrs7nj3jlqhtsmn,True
rufustsuperfly.bsky.social,Tom Reagan’s Hat,did:plc:hzsidnmraxkoje4h6q7cjmye,True
moh-ai.bsky.social,Mohamed_from_Gaza,did:plc:3odjqmuskpziqr4v4g6gd2lk,True
bullukfan.bsky.social,Sandra Bullock VIP Fan,did:plc:cc4k23rgnoqyt534tnh7sk6c,True
tai2chris.bsky.social,369Luv,did:plc:iz3md2hq6qo3dn7rd5vwv62p,True
bjorn53.bsky.social,Bjorn,did:plc:uy3hztjvs2eozu726ga7hxqx,True
tammeg.bsky.social,Tamme,did:plc:c7eyhygaoubpbm5ak7iylmeh,True
sassyfrassy25.bsky.social,,did:plc:ybsc4yvktqwltx2g75ryjcvt,True
steroidshop1.bsky.social,Coach Tyler,did:plc:5zdvafytdfdzgmg3azxkcnzy,True
gracefx.bsky.social,Alexander GRACE FX,did:plc:27jfdaa3uesbt7ntatdbbtb5,True
modou2.bsky.social,Mo o,did:plc:7jewoainvwihja2v7b43so7z,True
scamomile.bsky.social,Sandra Camomile,did:plc:gpcptjdjr6w32yfstiurrd4z,True
ajay1963.bsky.social,Alan J,did:plc:wefiw5swus7k5l2zc6figqlu,True
divyaswor.bsky.social,Divyaswor Makai,did:plc:fghjuxxxssvf2eml7twstd4o,True
ftotree.bsky.social,,did:plc:65jbmkbimhzctfar36av4wlb,True
aiinsightsai.bsky.social,Ai_Insights,did:plc:zsdkrxuqxubshf7ogxmc3f5w,True
lamin123.bsky.social,,did:plc:clojrowat7uwff6eje4rge7i,True
camerr86.bsky.social,,did:plc:kcsvhudqgzl4hzfs3rgnd24y,True
cinnamonhoe.bsky.social,𝓜𝓼. 𝓜𝓸𝓷𝓻𝓸𝓮,did:plc:6wbp6lxbzd4q4i2iknnkkedi,True
abesoana.bsky.social,besoabd33,did:plc:4snf6fhkgifg6rjf2ddq4xxh,True
tre45ontraitor.bsky.social,TRE45ON-47Traitor,did:plc:ea7t7rdqzecb3wbv4uje6wz6,True
bridgette75.bsky.social,,did:plc:j7ms5mcsufwpaji7tychglc7,True
sameerrraed.bsky.social,Sameer student in gaza,did:plc:vqpolbdrvc6xzi2o4knxvkmv,True
nicolejessica.bsky.social,Evan jessica,did:plc:j4lmgnu5msodglwex6rnukua,True
lonelyheart793.bsky.social,Camille Gear,did:plc:5p5nuqlvukdhsuspimh3lequ,True
nersony4265.bsky.social,Nerson y,did:plc:we5zsiigg3lsavignfph25s7,True
aipko.bsky.social,Aicontent,did:plc:mnajhezzjqju6ghmmt54fxoo,True
rimiu.bsky.social,Rimiu,did:plc:a2eeojrihz2kiwwt3oguhgks,True
pennydredful.bsky.social,,did:plc:2b355svk3djfu3ouggiumevj,True
jaceshim.bsky.social,Jace,did:plc:fwfec3xk4wnuvacn4eua2ohs,True
inamafridi.bsky.social,The InfoZone,did:plc:rguafs4crtmvr5j5z42rvtcd,True
jamesonwilliams360.bsky.social,Jameson Williams,did:plc:wbewzghu7nkwkua26betun45,True
shabirahmed.bsky.social,Hadyen pantteries,did:plc:6q6tn775mimn75cfhfkm2rej,True
maryreptileshome1.bsky.social,MARY JANE,did:plc:gycwkm5r6lipsevmoqjz2yar,True
thomas2770.bsky.social,Emily Anderson,did:plc:wuvyputteynz3hs2qrfbij2o,True
timjvalentine.bsky.social,Tim,did:plc:m2p7xw3wjgjgfjyinud2njza,True
matthewhogan13.bsky.social,Matthew Hogan,did:plc:77czdfjrj4azxvapedeooymd,True
murfad.bsky.social,Murf 🫐,did:plc:wmv3rxaywejtjg4kmrq7bhsy,True
potusbumblephuq.bsky.social,Call me Rick.,did:plc:dghgpm5hlw4psvrypwdm6ihz,True
chefchad.bsky.social,Chef Chad,did:plc:rur2dtwjcfpo26jpsz73we2s,True
alidet5.bsky.social,Ali D 🦋,did:plc:wpox2lmg473qrkkfaku5666d,True
mubeenjamilkhan.bsky.social,Mubeen Jamil Khan,did:plc:wxa3phfmgkvtbfu5vszleh62,True
amirpanahi.bsky.social,,did:plc:cxycp52ylo46mqgmenyjnw7g,True
notbob74.bsky.social,NotBob74,did:plc:r6z22mhxb7ukac5crb6kpeex,True
isweetserenity.bsky.social,Luna,did:plc:6yiu5z4rpnh7snihgp6i3fe7,True
emmyanso.bsky.social,Emmyanso: The Illumination,did:plc:3efnghm2thiwta6u5mcf5eyq,True
peteb0105.bsky.social,💙 AbyNormal,did:plc:33vpl3kf7ii6cky76fml4ujt,True
morganwallen430.bsky.social,,did:plc:ztkycefuerotdpydvmy4kv22,True
mowesamsanb.bsky.social,,did:plc:pqdshpnmbimzaeabgkrh3rmr,True
muradkhanm.bsky.social,Murad Khan,did:plc:x7rquqqmles6hykgwvam55gj,True
cartori.bsky.social,Cartori,did:plc:bd7ilbie3ten4ecdnl77islf,True
teresawtafworld.bsky.social,tRump got me F’d up..💙💙,did:plc:qn3zudnclapeo4w5zi2eoola,True
renatx-74.bsky.social,,did:plc:chwhrvugtq6v27j25gcgeu2z,True
smithkally.bsky.social,,did:plc:ie64yhlihrnqhlo5rp45taae,True
jagsman.bsky.social,Walt 🇪🇺💯✊🏼🏳️‍🌈🏴󠁧󠁢󠁳󠁣󠁴󠁿🦋,did:plc:znx6uibfswlix4zmgavc5jvb,True
phineasm.bsky.social,Phineas,did:plc:bjhpvzxnpv666ngvhcyrqxo3,True
hassanyar99.bsky.social,Hassanyar Danishwar,did:plc:y5xjpsnuxipujehzve36j577,True
imojilawver.bsky.social,Avant,did:plc:hcx7lwo47sy7ekthfhlrl2kw,True
danieljhansen.bsky.social,Dan Hansen 🌊🌊🔱,did:plc:64ieyfxpfoshnv7agqevryrf,True
nickneuman.bsky.social,Beat Nick,did:plc:5phucnuc2jb3jcjoyzsn3mwh,True
howardlane.bsky.social,,did:plc:dsy5j3rojyvncs5cbc6gbala,True
minniepearlie.bsky.social,Angelina,did:plc:kxznpf2cgq7vcjpa3uxfnc2t,True
sarahrtodd.bsky.social,Sarah Todd,did:plc:cm4sb5fg2pfw2xb4a5jzilt3,True
dqdzwanzpvrl002.bsky.social,Lisa,did:plc:o4bk77t56wc3pcsat2k7zdxw,True
guxxus.bsky.social,AiVR,did:plc:pdmknnmidymomozpmbiow257,True
michelewitchypoo.bsky.social,MicheleWitchyPoo🦋🤍🐾🦋🤍🐾🦋🤍🐾🦋,did:plc:wfod35mna25g35pyqthlcgds,True
doskie.bsky.social,gideon,did:plc:w25gpxonekdljj422yjsps4z,True
tambababucarr.bsky.social,Tamba,did:plc:442ff3ommdtktd7cknwzuaw7,True
muhammadthuhar.bsky.social,Muhammad Thuhar,did:plc:fcw55ynnbmf3h53i2xkjhrqq,True
jeanie8585.bsky.social,Jeanie,did:plc:pafpzdg3247qq7ijxdp52uke,True
dazzydazz.bsky.social,Dazzy🌸,did:plc:rfjip3b4o2u5h3fpni4kt2n6,True
kaylax2.bsky.social,,did:plc:uodj4ruwb6jm5htcevyplia4,True
wokedemlad.bsky.social,WokeDemLad 🏳️‍🌈🍉,did:plc:qrgbdzmb6wkmpigkuzakws6j,True
tiger-louie.bsky.social,TigerLouie,did:plc:tprsrbgyros3ya4alzhbfrol,True
leslierob007.bsky.social,,did:plc:nmlw2n6tenbrbeiqfxbifwnj,True
ponchozilla.bsky.social,Good Guy Poncho,did:plc:7umqb46edznx7lud6j2ieor4,True
leahcarbs.bsky.social,LeahBlueDem...Exist to Resist!,did:plc:svtjbwncr4nqgj3lmyq7atjh,True
bretknight.bsky.social,MacPaladin,did:plc:tuetvyanqandgnq554ntwj37,True
geoffreymintenko.bsky.social,Geoffrey Mintenko,did:plc:gsynqjt6d2f4lfr3zny2e4hq,True
deldaisy.bsky.social,,did:plc:7gmcw4q2voc2fpi3rampoids,True
