Handle,Display Name,DID,Follows Me
corgimama.bsky.social,Corgimama,did:plc:tvpyv7je7epcxndiucbhxb7p,True
janeenm.bsky.social,Janeen aka Mother of Cats,did:plc:grqf2m4cuhadyvk23bl6bhhw,False
kcummic.bsky.social,,did:plc:odo56j5jsk7ta4nju3aunzqs,False
kathleenjones.bsky.social,Kathleen Jones,did:plc:uwv4cazaguobt5rosijfmil6,False
viacalifornia.bsky.social,Cali💙Love,did:plc:mach67v5pjt5hmb5czo4shgx,True
hayleypriceauthor.bsky.social,Hayley Price Author,did:plc:o4qqbew2uw2zmhdwfdaprsa5,True
candyooo.bsky.social,,did:plc:jwcmrtn4fmdr4dzhoaub6gdn,False
yeastyboy.bsky.social,ItsTheYeastyBoys,did:plc:l7pgaixp6e4jfo6c3wsbh4dr,True
cat-servant.bsky.social,Cat Servant,did:plc:lqosqizgpzh6bdy4iiijgfzm,False
joesdot.bsky.social,JoesDot 🇺🇸,did:plc:7hebxakn5pq7herwdpieb6oc,True
maryannaevans.bsky.social,Mary Anna Evans,did:plc:ontdyshn5kkczi74sprbrkwu,True
ctgirl7.bsky.social,CTGirl7,did:plc:p653f4wq4upa3gbvfuw45c2a,True
goodmojojo.bsky.social,Goodmojojo,did:plc:ajvde7a4asrojgjujrawjoue,True
racytay44.bsky.social,Tracy,did:plc:5yiq45skwqkibsaj4hon7rnt,False
slovibes.bsky.social,,did:plc:kzbt242wxcckksx453eevpv2,True
thefactsguy.bsky.social,The Facts Guy,did:plc:nrismbnhjtxvdkbht3ryirae,True
infjx.bsky.social,Toney,did:plc:rkgohaobvcnymdssjz7zewja,True
mdmsammg.bsky.social,mdmsammg,did:plc:fgtslbvi5m3p2hxameyrlk2k,True
ciiracyrus.bsky.social,ciira_cyrus,did:plc:o3vq7fiz4xh2jd6w7kwt5qk2,True
iquitcigs.bsky.social,I Quit Smoking,did:plc:4izbafo5wmsu6k5uuxetbftc,True
uh8.bsky.social,UH,did:plc:f5h6t3h4sqy77wdwylyzvpfg,True
cindym1974.bsky.social,Cindy Demambro,did:plc:db2fn3762ciujq6og62ydxbu,True
risingspray.bsky.social,Emilia,did:plc:fjjvmiwm3keym2ssxavaojnw,True
milfsofia71.bsky.social,Sofia,did:plc:3vopdivv7dhpehcaij6egkkq,True
seahawkcindi.bsky.social,Cindi,did:plc:hoa5secanti6xhymbmypw6h5,True
redmilf71.bsky.social,Red,did:plc:3fr2cn2ewwywyb5ey3fu5fqk,True
prettypat112.bsky.social,Prettypat,did:plc:h2ofjxynzz5y4ekjkee4mr2v,True
sanaabdlarhim.bsky.social,Sanaa Abdalrahim 🍉,did:plc:4orqbb2swvt2kd3w34bopafn,True
beagleownerclub.bsky.social,Beagle Owner Club,did:plc:llh746exwypbf5d467kigtjj,True
mick2025.bsky.social,Mick,did:plc:ekqqzjlauxj6brdjzf2joht5,True
purplepeachy.bsky.social,,did:plc:ek4m6pzlurel4yzfn2r7u6nr,True
janedoeoreo.com,Jane Doe Oreo,did:plc:6776pcyah4oeuhjo4fuy557m,True
sxr8.bsky.social,,did:plc:u76unbhekduscywbqx2oqvta,True
yellowrose7.bsky.social,GlindaTheGoodWitch,did:plc:nvd7kyx27crqeisaklnsbtsw,True
19861224.bsky.social,LingFei,did:plc:25v7dqvawhhqfaihqazo7jcd,True
blueyeflower.bsky.social,Iris,did:plc:fgu4scvsgmmygxrx23bgdchk,True
animallover123.bsky.social,AnimalLover,did:plc:q4ou4jxzjfh4amyldtpamvni,False
katecannes.bsky.social,"Kate Cannes BOS, DC & FMTY",did:plc:lmj5zywsek5broecxdifdfej,False
nikabardo.bsky.social,Nika Bardo 🌹Detroit/FMTY,did:plc:wdpy5nq2agmfag5vhlv6ippa,False
cryptorob.bsky.social,,did:plc:yt45rfcakn75qplfl7dg2ctn,False
housewifeginger.bsky.social,Housewife Ginger,did:plc:otdkj2slny3pngki2f6etw7t,False
rach7646.bsky.social,☀️Rachel☀️,did:plc:p3uqbci7q5ebxrrshlij5xmz,False
kyliesontop.bsky.social,,did:plc:ic457tqu244jsjiwn4wdh6id,False
extra.rojsmith.com,Roj Smith Extra 📷,did:plc:u2wpxmvhh7s5amqvdxkzfc57,False
ehvee.bsky.social,Evy,did:plc:4vyuaupknv3qqsdnnfgrowet,False
vandalyre.bsky.social,Vandalyre,did:plc:h2wl6r5lmxr25btjimc23qd7,False
kchula.bsky.social,💙,did:plc:jnehzxktjygz5kfz5xf7lfru,False
frankb73.bsky.social,Frank Brannan,did:plc:bcpcarq3b44cetwzbgyqszlx,True
esqueer.net,Alejandra Caraballo,did:plc:sefgphqp2xqwh2hawaixykwz,False
bladerunner64.bsky.social,ロイド,did:plc:tbykzqmcwkiqdpnwqekmf6gd,False
ericrsports.bsky.social,Eric Rodgers,did:plc:qlsbmwtzmqady3yjq2bgpeke,False
fanzo.bsky.social,Fanzo,did:plc:qpy4xitx5kx7yn7h6y2vgqss,False
robsur.bsky.social,,did:plc:sjtilkfxd4danlxo67mzqsud,True
cousinit.bsky.social,CousinIT aka SevenBowie,did:plc:4sow4kkqplorjbfpwvhaltjn,True
