Handle,Display Name,DID,Follows Me
stevevladeck.bsky.social,Steve Vladeck,did:plc:nwnlnixtjh3qhkwpz2uy5uwv,False
qjurecic.bsky.social,Quinta Jurecic,did:plc:maiw2rfujepnphhrejytvuu5,False
nkorpett.bsky.social,,did:plc:ageci2q2mlvqllayextpxkj5,False
jkosseff.bsky.social,Jeff Kosseff,did:plc:4ppr4feitpgvwvxbkkdddbol,False
kschake.bsky.social,Kori Schake ,did:plc:al474m2wxdgnvvlghhlwqehs,False
elenachachko.bsky.social,Elena Chachko,did:plc:guqefinnjxknfb4rewmbl4qe,False
erinsikorsky.bsky.social,Erin Sikorsky,did:plc:kceh54r62i7cqri4pym6q3vr,False
secretsandlaws.bsky.social,Secrets and Laws,did:plc:fypr33v6gxusfibtdpqyar5a,False
marknevitt.bsky.social,Mark Nevitt,did:plc:i4jodu4wgqqsiwjmmf7rc24c,False
seamushughes.bsky.social,Seamus Hughes,did:plc:qyhkpmqrr4h3euha4uq4ilwx,False
keitnerlaw.bsky.social,Chimene Keitner,did:plc:cjx66fxei5mbdcl34vqpgurg,False
davidpriess.bsky.social,David Priess,did:plc:avjjtholszhsildy23rvzw3f,False
ncweaver.skerry-tech.com,Nicholas Weaver,did:plc:qpviqmyexowd5orod4utv34f,False
zittrain.bsky.social,Jonathan Zittrain,did:plc:og4dkp7yxaumwtwmfwe7otxw,False
orinkerr.bsky.social,Orin Kerr,did:plc:t4ajdi5kxxppgki47pgefvs3,False
jacklgoldsmith.bsky.social,Jack Goldsmith,did:plc:dzbxla5mysm72nzj7etu6wbc,False
walshfreedom.bsky.social,Joe Walsh,did:plc:tqbddflje6gou64cqm6fecmx,False
blueskyauthor.bsky.social,J. M. Venturini,did:plc:5w3zrzk7gtzle4aftwwm36fb,True
mariecrowley.bsky.social,Marie Crowley,did:plc:idrapktybakme5y2zm2uwj2m,True
itsallforshit.bsky.social,,did:plc:2xv3aapy47arqvj7mx6vmpsu,False
leathompson.bsky.social,Lea Thompson,did:plc:456tbfvgjg5zzvyaw4js6pak,False
pdxeleven.bsky.social,Tiffany Drastic,did:plc:5safoqv4vfqvl6jint33o2pk,True
sheldricktrust.bsky.social,Sheldrick Wildlife Trust,did:plc:rni3bcsx3xgtnjmfbyjeiwwl,False
baeeeeyay.bsky.social,,did:plc:oqfkpj7kc773ad53ofjxg2di,False
minnieelovesyou.bsky.social,Minnie🥰,did:plc:z7ynrwpf3xiyk5w3wcobr5lv,False
tieingeek.bsky.social,Tie-In Geek-Fan Account,did:plc:g6k5r5wl6maahvegy5pzvxpn,False
redandlegs.bsky.social,,did:plc:xkp53i3vlnghzxaazqt6yv6w,False
monzocelebs.bsky.social,Monzo Celebs,did:plc:h7lf57yzdzlaxdvi6pks4yvf,False
secretcelebs.bsky.social,Hottest Celebs,did:plc:v67o2sxk67ejt2qx24alz5oc,False
thecelebhq.bsky.social,TheCelebHQ,did:plc:g7njdeaniivswanxbpgr2n2n,False
ndnsfw.bsky.social,ND,did:plc:2uux2cztpkhkkwbtpdfb3jej,False
celeblover97.bsky.social,Celeb Lover 97,did:plc:p7ayzitto2rwlcrpxtu76cxv,False
dutchsinner.bsky.social,Dutchsinner,did:plc:wklvndwzbhj7iiquwg5tbeky,False
nitecrxwlr.bsky.social,Nick 💋,did:plc:smvimiwzbkdgjdkqa5rlose7,False
therealhoarse.bsky.social,Hoarse Whisperer,did:plc:zbnwtqecwcyxoufqp7ddcztj,False
rufustsuperfly.bsky.social,Tom Reagan’s Hat,did:plc:hzsidnmraxkoje4h6q7cjmye,True
beatrizqueirooz.bsky.social,Beatriz Queiroz,did:plc:42benzd2u5sgxxdanweszno3,True
pkrugman.bsky.social,Paul Krugman,did:plc:vl7iw2awdpm72srjve3f4fj2,False
tealwarrior.bsky.social,TealWarrior,did:plc:2zslro3dkgmcbnbz5vqknuwj,True
beaglemom2024.bsky.social,Beagle Mom,did:plc:roigydzfxr36nzlcgzfek4f7,True
inkfreq.com,inkfreq,did:plc:b6trru5vutug5xvh626cq6nr,True
packmama.bsky.social,Pack Mama-Barbara🫘,did:plc:f3rfd3tu2zbe7xtiu65alnzz,True
ademocracy4all.bsky.social,Democracy4All,did:plc:ivqbnwyoooeq3bzn3m2vb5f4,False
grittypogonophile.bsky.social,,did:plc:adx7ssx4xmz5xteckwhpdasj,False
paulwagoner.bsky.social,Paul Wagoner,did:plc:ktssmcea2tiy2r3n5ydlfchm,True
lynnsations.bsky.social,,did:plc:2e6fnmxrcysue7eprjwtby6n,True
smeehan.bsky.social,,did:plc:ed77yczbris2ilfa2ytdq7kq,False
mikemil281.bsky.social,Mils281,did:plc:6txkdbggkawglsebtzbrouom,True
jaggedgt.bsky.social,Jagged,did:plc:hbormbyrz7zxas557gdenhio,False
holdurown.bsky.social,Dee,did:plc:yt7vku5zguaf3xp4nuedtpof,True
tmelange.bsky.social,Terry in CT,did:plc:e3ylvzaty75smgpdv62g7mto,False
tomwillard2020.bsky.social,,did:plc:6jh3i66kxiz7blrkl3gtvzin,False
brownsgirl1964.bsky.social,Kimberly Moore,did:plc:uxclv7bmbhtlp6bm4ysrizca,True
mel-o2.bsky.social,modoms,did:plc:574pd2ms7h3oot3otzetikyb,False
sarsjam.bsky.social,SARS,did:plc:pfliylcayl6h4a5kln55qi5x,False
k-a-t.bsky.social,,did:plc:6zqqncqkortsdjeutpsosh72,False
sarajuana.bsky.social,Sarajuana🗽🔊,did:plc:obqlps3tb76g3awlrh3jqhts,False
retired-guy.bsky.social,Rosendo,did:plc:nuxm3f2gl5rhgsos2kw3bx4o,True
bludot87.bsky.social,King Jeremy the Wicked,did:plc:gbxy5w64cga7u3el3ivnkokc,True
bigwillie5.bsky.social,BigWillie,did:plc:7df6ovd5db5a4ny22iams76x,False
ca-native444.bsky.social,,did:plc:ktix7yvndhkwy54wm5f4awcw,False
nancytucker.bsky.social,Nancy Tucker,did:plc:tzevro3z6tshrwsjcnkuzntg,True
rootedinrope.bsky.social,Rootie Ropes,did:plc:hqyonuac6dv273g7saynetj3,False
