Handle,Display Name,DID,Follows Me
lmhl22.bsky.social,🇺🇦SBP🟧,did:plc:7harejjdkwgrc3ut55twzwaa,False
realdudeintexas.bsky.social,,did:plc:zqc2v6bwwn4zwhyiniulz7uv,False
bstelaine.bsky.social,Elaine,did:plc:3d6pwead3544csqphrmnbum2,False
minilover04.bsky.social,VC 🇬🇧🇺🇦🇩🇪🇩🇰🇸🇪🇵🇱,did:plc:ikdmglmmfnuszwjfoypiophq,False
angeladawn.bsky.social,Angela Word,did:plc:iw2ssg2rl4tb4tn4jzc3jjjo,False
theartistwills.bsky.social,William C Semo / Laurel Highlands Author,did:plc:ndf2tpwjhkfbu5wwz4pe2fol,False
420-gandalf.bsky.social,Scott,did:plc:ml3f2xfnnz2buu7hdcro37tj,False
kippersmom22.bsky.social,,did:plc:gz2wqjzj5xzqlxwt6oprsk7w,False
ksfrmgrll.bsky.social,,did:plc:sx5yaumuglg7ko77mxrcsp42,False
katymurta.bsky.social,Katharine Murta Adams but call me Katy—she/her,did:plc:grezsf35gv7m5xcxmflkuu3l,False
redtommy76.bsky.social,TomD 🏳️‍🌈🖖,did:plc:irdwfopxmndwe727ud7ajtpw,False
joy-full.bsky.social,Max's Momma,did:plc:cd4zeji7pvfn46m4so2bzlkz,False
chelelea.bsky.social,Chele Lea,did:plc:fqd5ydgl3gap72lck36cqdx5,False
andrearusso212.bsky.social,Andrea 💙 USA 🌊 🟧,did:plc:piyipbvyr5woquqbh46gjrve,False
ericpranausk.bsky.social,Eric Pranausk,did:plc:mgdkc5ue3mkmsx4rtrmk6amu,False
floridarph1.bsky.social,Floridarph1,did:plc:6b4lnfdszy2dxcmyzmshedcg,False
berlin01.bsky.social,KPage,did:plc:5nmodu5c7765fp2caixxidgt,False
dredredredre.bsky.social,Cort,did:plc:zecsixvklvucoui4i73iynhn,False
rabidnurse.bsky.social,,did:plc:yp46ehj7ebzpt3mus3fwsjdd,False
sunflowermum.bsky.social,SunflowerMum,did:plc:cqxro3zhtoomleuuyt53dr2k,False
jimdjr1522.bsky.social,Jim,did:plc:ls7k475n6da7pdllaadk3x7g,False
